"ID","DATE","PREFLABEL_EN","DEFINITION_EN","ALTLABEL_EN","BROADER","NARROWER"
"METAGENOMIC",2024-08-30,"METAGENOMIC","metagenomic analysis workflow","metag",,
"GENOMIC",2024-08-30,"GENOMIC","genomic analysis workflow","gen",,
"GENOMIC SINGLE CELL",2024-08-30,"GENOMIC SINGLE CELL","genomic single cell analysis workflow","gensc",,
"TRANSCRIPTOMIC",2024-08-30,"TRANSCRIPTOMIC","transcriptomic analysis workflow","trans",,
"TRANSCRIPTOMIC SINGLE CELL",2024-08-30,"TRANSCRIPTOMIC SINGLE CELL","transcriptomic single cell analysis workflow","transsc",,
"METATRANSCRIPTOMIC",2024-08-30,"METATRANSCRIPTOMIC","metatranscriptomic analysis workflow","metatrans",,
"SYNTHETIC",2024-08-30,"SYNTHETIC","synthetic analysis workflow","synt",,
"VIRAL RNA",2024-08-30,"VIRAL RNA","viral rna analysis workflow","viral",,
"OTHER",2024-08-30,"OTHER","other type analysis workflow","other",,
"manual",2024-08-30,"manual","batch status is manual","manual",,
"test",2024-08-30,"test","batch is being tested","test",,
"processing",2024-08-30,"processing","batch is being processed","processing",,
"done",2024-08-30,"done","batch status is done","done ",,
